fecha,cod_calendario,conteo_ordenes,conteo_restaurantes,temp_max,temp_min,precipitacion,eventos
2012-09-01,0.0,165,6,30.6,22.8,0.0,Lluvia
2012-09-02,1.0,138,8,32.8,22.8,15.5,Lluvia-Tormenta
2012-09-03,1.0,127,9,29.4,18.3,0.0,Ninguno
2012-09-04,1.0,174,10,29.4,17.2,0.0,Ninguno
2012-09-05,1.0,196,11,30.6,21.7,0.0,Niebla
2012-09-06,1.0,314,12,32.8,22.2,9.9,Lluvia-Tormenta
2012-09-07,1.0,156,13,27.2,17.8,0.0,Ninguno
2012-09-08,1.0,150,7,23.3,17.8,0.0,Ninguno
2012-09-09,1.0,137,8,24.4,20.6,0.0,Ninguno
2012-09-10,1.0,156,9,26.7,17.8,0.0,Ninguno
2012-09-11,1.0,135,10,30.0,20.6,0.0,Ninguno
2012-09-12,1.0,187,11,24.4,15.6,0.0,Ninguno
2012-09-13,1.0,342,12,21.1,12.8,11.7,Lluvia
2012-09-14,1.0,202,13,20.6,9.4,0.0,Ninguno
2012-09-15,1.0,141,7,22.8,8.3,0.0,Ninguno
2012-09-16,1.0,101,8,23.9,13.3,2.8,Lluvia
2012-09-17,1.0,171,9,23.3,11.7,0.0,Ninguno
2012-09-18,1.0,168,10,22.2,10.6,0.0,Ninguno
2012-09-19,1.0,222,11,21.7,12.2,0.0,Ninguno
2012-09-20,1.0,265,11,25.6,14.4,0.0,Ninguno
2012-09-21,1.0,213,13,26.7,16.1,0.0,Ninguno
2012-09-22,1.0,150,7,22.2,10.0,0.0,Ninguno
2012-09-23,1.0,154,9,21.1,6.1,0.0,Ninguno
2012-09-24,1.0,154,9,22.8,10.0,2.8,Lluvia
2012-09-25,1.0,203,10,17.8,13.9,26.9,Lluvia
2012-09-26,1.0,216,11,25.6,11.1,0.0,Ninguno
2012-09-27,1.0,267,12,28.3,11.7,0.0,Ninguno
2012-09-28,1.0,246,12,27.2,13.3,0.0,Ninguno
2012-09-29,1.0,179,8,22.8,15.6,2.3,Lluvia
2012-09-30,1.0,143,9,25.0,17.2,0.3,Lluvia
2012-11-01,1.0,353,16,10.6,6.7,16.8,Lluvia
2012-11-02,1.0,236,15,10.0,3.3,0.0,Lluvia
2012-11-03,1.0,220,11,15.0,3.3,0.0,Ninguno
2012-11-04,0.0,234,12,21.7,7.2,0.0,Ninguno
2012-11-05,1.0,222,13,20.0,8.3,0.3,Lluvia
2012-11-06,1.0,190,13,13.9,8.9,15.0,Lluvia
2012-11-07,1.0,283,14,12.8,2.2,0.0,Ninguno
2012-11-08,1.0,268,15,10.0,-1.1,0.0,Ninguno
2012-11-09,1.0,223,16,14.4,3.3,0.0,Ninguno
2012-11-10,1.0,172,10,15.6,0.6,0.0,Ninguno
2012-11-11,1.0,183,11,18.9,3.3,0.0,Ninguno
2012-11-12,1.0,252,13,20.0,4.4,0.3,Niebla-Lluvia
2012-11-13,1.0,225,14,7.8,1.1,3.8,Lluvia-Nieve
2012-11-14,1.0,270,16,6.1,0.0,0.0,Ninguno
2012-11-15,1.0,322,16,6.1,-2.8,0.0,Ninguno
2012-11-16,1.0,304,16,6.7,-2.8,1.8,Lluvia
2012-11-17,1.0,281,12,10.0,5.0,31.2,Lluvia
2012-11-18,1.0,271,12,6.1,-5.0,0.0,Ninguno
2012-11-19,1.0,323,14,0.6,-7.2,0.0,Ninguno
2012-11-20,1.0,258,15,10.0,-1.1,0.0,Ninguno
2012-11-21,1.0,331,16,2.8,-3.3,0.0,Ninguno
2012-11-22,1.0,339,16,7.8,-6.7,0.0,Ninguno
2012-11-23,1.0,290,16,12.8,1.7,0.0,Ninguno
2012-11-24,1.0,270,12,22.2,12.8,9.1,Lluvia
2012-11-25,1.0,202,13,20.0,6.7,0.0,Ninguno
2012-11-26,0.0,137,11,8.9,1.1,28.4,Lluvia-Nieve
2012-11-27,0.0,0,3,5.6,-1.1,0.0,Ninguno
2012-11-28,0.0,82,10,5.0,-2.8,0.0,Ninguno
2012-11-29,1.0,128,14,6.1,-4.4,0.0,Ninguno
2012-11-30,1.0,264,16,15.6,4.4,0.0,Ninguno
2012-12-01,1.0,268,12,18.3,5.6,3.6,Lluvia
2012-12-02,1.0,344,13,5.6,1.7,9.9,Lluvia
2012-12-03,1.0,383,14,8.3,2.8,1.3,Niebla-Lluvia
2012-12-04,1.0,290,15,7.2,-1.7,0.0,Ninguno
2012-12-05,1.0,353,15,6.1,2.8,1.0,Lluvia
2012-12-06,1.0,454,16,9.4,5.6,18.8,Lluvia
2012-12-07,1.0,376,17,8.3,0.6,0.3,Lluvia
2012-12-08,1.0,371,12,2.8,-2.2,0.0,Ninguno
2012-12-09,1.0,357,13,7.8,2.8,8.6,Lluvia
2012-12-10,1.0,405,14,6.7,1.7,0.0,Lluvia-Nieve
2012-12-11,1.0,324,13,3.9,0.0,0.8,Nieve
2012-12-12,1.0,287,15,4.4,0.6,0.0,Ninguno
2012-12-13,0.0,244,16,5.6,0.6,0.0,Ninguno
2012-12-14,0.0,221,15,8.3,0.0,0.0,Ninguno
2012-12-15,0.0,184,11,8.9,0.6,0.0,Ninguno
2012-12-16,0.0,230,12,9.4,-1.1,2.5,Lluvia
2012-12-17,0.0,195,13,12.2,2.2,0.0,Ninguno
2012-12-18,0.0,191,14,5.6,1.7,0.0,Ninguno
2012-12-19,0.0,238,15,6.1,-2.8,0.0,Ninguno
2012-12-20,0.0,181,15,2.8,-2.2,0.0,Ninguno
2012-12-21,0.0,166,16,5.0,-3.9,0.0,Ninguno
2012-12-22,0.0,133,10,6.7,-5.6,1.3,Lluvia
2012-12-23,0.0,175,11,11.1,6.7,1.8,Niebla-Lluvia
2012-12-24,0.0,27,8,18.3,8.3,24.1,Niebla-Lluvia
2012-12-25,0.0,0,3,18.3,3.9,1.0,Lluvia
2012-12-26,0.0,97,13,10.6,-0.6,0.0,Ninguno
2012-12-27,0.0,138,15,13.3,-1.1,0.0,Ninguno
2012-12-28,0.0,160,16,13.9,1.7,1.5,Lluvia
2012-12-29,0.0,135,11,8.3,1.1,0.0,Ninguno
2012-12-30,0.0,172,12,3.9,-3.3,0.0,Ninguno
2012-12-31,0.0,184,12,1.1,-6.7,0.0,Ninguno
2013-01-01,0.0,151,10,5.6,-5.0,0.0,Ninguno
2013-01-02,0.0,182,13,6.1,-2.8,0.0,Ninguno
2013-01-03,0.0,223,15,6.1,-4.4,14.5,Lluvia
2013-01-04,0.0,195,17,16.7,5.0,8.4,Niebla-Lluvia
2013-01-05,0.0,180,12,9.4,-4.4,0.0,Ninguno
2013-01-06,0.0,213,13,-3.3,-10.0,3.8,Niebla-Nieve
2013-01-07,0.0,237,14,-4.4,-11.1,0.0,Ninguno
2013-01-08,0.0,214,14,-6.7,-13.3,0.0,Ninguno
2013-01-09,0.0,293,15,2.2,-6.7,0.3,Nieve
2013-01-10,0.0,276,17,-5.0,-11.7,0.0,Ninguno
2013-01-11,0.0,281,16,5.0,-11.7,0.0,Ninguno
2013-01-12,0.0,232,12,3.3,0.6,18.0,Lluvia
2013-01-13,0.0,212,14,3.3,-5.0,0.0,Ninguno
2013-01-14,0.0,237,15,0.6,-6.1,0.0,Ninguno
2013-01-15,0.0,214,16,2.8,-2.8,0.0,Ninguno
2013-01-16,0.0,304,17,7.2,-4.4,0.0,Ninguno
2013-01-17,0.0,327,18,0.0,-8.3,0.0,Ninguno
2013-01-18,0.0,343,18,6.1,-2.8,42.4,Lluvia
2013-01-19,0.0,229,15,7.2,-1.1,0.0,Ninguno
2013-01-20,0.0,219,17,7.8,-2.8,0.0,Ninguno
2013-01-21,0.0,321,18,1.1,-3.9,2.0,Niebla-Nieve
2013-01-22,0.0,257,18,5.0,-2.2,0.3,Nieve
2013-01-23,0.0,322,19,5.0,-3.9,5.8,Lluvia-Nieve
2013-01-24,0.0,329,20,3.3,0.6,16.5,Lluvia
2013-01-25,0.0,265,20,9.4,0.0,0.0,Lluvia
2013-01-26,0.0,258,14,1.7,-2.2,1.0,Nieve
2013-01-27,0.0,266,17,1.1,-5.6,0.0,Ninguno
2013-01-28,0.0,267,18,1.1,-7.2,0.0,Ninguno
2013-01-29,0.0,247,18,1.1,-10.0,0.0,Nieve
2013-01-30,0.0,404,19,5.6,-6.7,0.0,Nieve
2013-01-31,0.0,397,20,-1.7,-10.0,0.0,Ninguno
2013-02-16,1.0,405,15,-8.9,-16.7,0.8,Nieve
2013-02-17,1.0,423,17,-3.9,-10.6,5.6,Nieve
2013-02-18,1.0,377,19,-1.1,-15.0,0.0,Nieve
2013-02-19,1.0,391,20,-6.1,-14.4,0.0,Ninguno
2013-02-20,1.0,556,20,-7.8,-16.7,0.0,Ninguno
2013-02-21,1.0,210,20,0.6,-16.1,17.0,Niebla-Lluvia-Nieve
2013-02-22,1.0,473,21,6.1,0.0,5.8,Lluvia
2013-02-23,1.0,327,16,2.2,-10.6,0.0,Ninguno
2013-02-24,1.0,395,18,-5.0,-14.4,0.0,Ninguno
2013-02-25,1.0,398,18,3.3,-11.7,0.0,Ninguno
2013-02-26,1.0,378,18,0.6,-3.9,0.3,Nieve
2013-02-27,1.0,556,20,-1.7,-6.7,0.3,Nieve
2013-02-28,1.0,570,19,-0.6,-10.0,0.0,Ninguno
2013-03-01,1.0,615,22,0.0,-8.3,13.7,Lluvia-Nieve
2013-03-02,1.0,369,16,3.3,-2.8,0.0,Ninguno
